id_subtipo,data_inicio,ano,data_inicial,data_final,evento,taxa_ocupacao
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-30,30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2022-12-31,30-31/12 e 01/01 (2022-2023),2022-12-31,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2023-01-01,30-31/12 e 01/01 (2022-2023),2023-01-01,2023-01-01,Reveillon,0.9251
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
5071,2022-09-03,02/09 a 04/09 de 2022,2022-09-03,2022-09-04,Rock in Rio,0.8184
